date,line_code,shift,output_qty,data_label
2026-02-28,LINE-F01,DAY,600,SYNTHETIC_GOERTEK_FIXTURE
2026-02-28,LINE-F02,NIGHT,620,SYNTHETIC_GOERTEK_FIXTURE
2026-03-01,LINE-F03,DAY,640,SYNTHETIC_GOERTEK_FIXTURE
2026-03-01,LINE-F04,NIGHT,660,SYNTHETIC_GOERTEK_FIXTURE
2026-03-02,LINE-F01,DAY,680,SYNTHETIC_GOERTEK_FIXTURE
2026-03-02,LINE-F02,NIGHT,700,SYNTHETIC_GOERTEK_FIXTURE
2026-03-03,LINE-F03,DAY,720,SYNTHETIC_GOERTEK_FIXTURE
2026-03-03,LINE-F04,NIGHT,740,SYNTHETIC_GOERTEK_FIXTURE
2026-03-04,LINE-F01,DAY,760,SYNTHETIC_GOERTEK_FIXTURE
2026-03-04,LINE-F02,NIGHT,780,SYNTHETIC_GOERTEK_FIXTURE
2026-03-05,LINE-F03,DAY,800,SYNTHETIC_GOERTEK_FIXTURE
2026-03-05,LINE-F04,NIGHT,820,SYNTHETIC_GOERTEK_FIXTURE
2026-03-06,LINE-F01,DAY,840,SYNTHETIC_GOERTEK_FIXTURE
2026-03-06,LINE-F02,NIGHT,860,SYNTHETIC_GOERTEK_FIXTURE
2026-03-07,LINE-F03,DAY,880,SYNTHETIC_GOERTEK_FIXTURE
2026-03-07,LINE-F04,NIGHT,900,SYNTHETIC_GOERTEK_FIXTURE
2026-03-08,LINE-F01,DAY,920,SYNTHETIC_GOERTEK_FIXTURE
2026-03-08,LINE-F02,NIGHT,940,SYNTHETIC_GOERTEK_FIXTURE
2026-03-09,LINE-F03,DAY,600,SYNTHETIC_GOERTEK_FIXTURE
2026-03-09,LINE-F04,NIGHT,620,SYNTHETIC_GOERTEK_FIXTURE
2026-03-10,LINE-F01,DAY,640,SYNTHETIC_GOERTEK_FIXTURE
2026-03-10,LINE-F02,NIGHT,660,SYNTHETIC_GOERTEK_FIXTURE
2026-03-11,LINE-F03,DAY,680,SYNTHETIC_GOERTEK_FIXTURE
2026-03-11,LINE-F04,NIGHT,700,SYNTHETIC_GOERTEK_FIXTURE
2026-03-12,LINE-F01,DAY,720,SYNTHETIC_GOERTEK_FIXTURE
2026-03-12,LINE-F02,NIGHT,740,SYNTHETIC_GOERTEK_FIXTURE
2026-03-13,LINE-F03,DAY,760,SYNTHETIC_GOERTEK_FIXTURE
2026-03-13,LINE-F04,NIGHT,780,SYNTHETIC_GOERTEK_FIXTURE
2026-03-14,LINE-F01,DAY,800,SYNTHETIC_GOERTEK_FIXTURE
2026-03-14,LINE-F02,NIGHT,820,SYNTHETIC_GOERTEK_FIXTURE
2026-03-15,LINE-F03,DAY,840,SYNTHETIC_GOERTEK_FIXTURE
2026-03-15,LINE-F04,NIGHT,860,SYNTHETIC_GOERTEK_FIXTURE
2026-03-16,LINE-F01,DAY,880,SYNTHETIC_GOERTEK_FIXTURE
2026-03-16,LINE-F02,NIGHT,900,SYNTHETIC_GOERTEK_FIXTURE
2026-03-17,LINE-F03,DAY,920,SYNTHETIC_GOERTEK_FIXTURE
2026-03-17,LINE-F04,NIGHT,940,SYNTHETIC_GOERTEK_FIXTURE
2026-03-18,LINE-F01,DAY,600,SYNTHETIC_GOERTEK_FIXTURE
2026-03-18,LINE-F02,NIGHT,620,SYNTHETIC_GOERTEK_FIXTURE
2026-03-19,LINE-F03,DAY,640,SYNTHETIC_GOERTEK_FIXTURE
2026-03-19,LINE-F04,NIGHT,660,SYNTHETIC_GOERTEK_FIXTURE
2026-03-20,LINE-F01,DAY,680,SYNTHETIC_GOERTEK_FIXTURE
2026-03-20,LINE-F02,NIGHT,700,SYNTHETIC_GOERTEK_FIXTURE
